title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
사마에게,FOR SAMA,2019,"인물,지역,역사","함자 알-카테아브(본인),사마 알-카테아브(본인),와드 알-카테아브(본인)",http://file.koreafilm.or.kr/thm/02/00/05/37/TN_DPB000893.jpg
젠틀맨,THE GENTLEMEN,2019,"액션,범죄","매튜 맥커너히,휴 그랜트,콜린 파렐",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019744.jpg
숀더쉽 더 무비: 꼬마 외계인 룰라!,A SHAUN THE SHEEP MOVIE: FARMAGEDDON,2019,"어드벤처,코메디,가족,판타지,SF","저스틴 플레쳐(숀/티미 목소리),존 스파크스(농부/비처 목소리),아말리아 바이탈(룰라 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019736.jpg
미스터 주: 사라진 VIP,MR.ZOO (MI-SEU-TEO JU: SA-RA-JIN VIP),2019,"코메디,드라마,어드벤처","이성민(주태주),김서형(민수희),배정남(만식)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015308.jpg
차이니즈 봉봉 (서울편),(CHAINISEU BONGBONG (SEOULPYEON)),2019,드라마,"최지헌,지건우,이칸희",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015327.jpg
해치지않아,SECRET ZOO (HAECHIJIANA),2019,코메디,"안재홍(태수),강소라(소원),박영규",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015322.jpg
일 트로바토레, ,2019,"드라마,멜로/로맨스","안나 네트렙코,유시프 에이바조프",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPB000920.jpg
소림쿵푸: 마지막 대결,CONQUERING THE DEMONS OF MASTER,2019,"무협,액션","브라이언 렁,조우 빈,왕 메이 잉",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019738.jpg
무죄구역,THE INNOCENT CITY,2019,"SF,액션,드라마","왕백문,담염염",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019737.jpg
딥워터 서바이벌,THE CHAMBER,2019,"SF,스릴러,공포","샤를롯트 살트,엘리어트 레비,요하네스 쿤게",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019733.jpg
스노우몬스터,ABOMINABLE,2019,"어드벤처,코메디,가족,판타지","클로이 베넷(이 목소리),알버트 차이(펭 목소리),텐징 노게이 트레이너(진 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019731.jpg
파이와켓: 죽음의 주문,PYEWACKET,2019,"공포,스릴러","미시 페레그림(목소리),로리 홀든(레이예스),클로이 로즈(재니스)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019729.jpg
애니 불릿 윌 두,ANY BULLET WILL DO,2019,서부,"케빈 마클리(홀리스 랜섬),제니 커티스(로즈 게이지),브루스 데이비슨(조너선 캐링턴)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019728.jpg
레프트 비하인드: 남겨진 시대,LEFT BEHIND - VANISHED: NEXT GENERATION,2019,"어드벤처,드라마","앰버 프랭크(개비 할로우),메이슨 다이(조시 잭슨),딜런 스프레이베리(플린)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019727.jpg
21 브릿지: 테러 셧다운,21 BRIDGES,2019,"범죄,드라마,스릴러,액션","채드윅 보즈먼(안드레 데이비스),시에나 밀러(프랭키 번즈),J.K. 시몬스(맥케나)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019801.jpg
나쁜 녀석들 : 포에버,BAD BOYS FOR LIFE,2019,액션,"윌 스미스(마이크 로리 형사),마틴 로렌스(마커스 버넷 형사),조 판돌리아노",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019724.jpg
사탄의 인형: 상속 받은 저주,DOLLS,2019,공포,"토머스 도니(로버트 홀브룩),트리니티 심슨(새미 홀브룩),브렛 그린(제임스)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019723.jpg
극장판 미니특공대: 공룡왕 디노,(GEUKJANGPAN MINITEUKGONGDAE: GONGNYONGWANG DINO),2019,어드벤처,"신용우(얀/맥스 목소리),엄상현(볼트/디노 목소리),양정화(볼트 미니 버전 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015320.jpg
청춘빌라 살인사건,DOGS IN THE HOUSE (CHEONG-CHUN-BIL-LA SAL-IN-SA-GEON),2019,"코메디,액션,가족,드라마,범죄","김영호(수로),김정팔(만석),윤봉길(동식)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015319.jpg
히트맨,HITMAN (HITEUMAEN),2019,"코메디,액션","권상우(준),정준호(덕규),황우슬혜(미나)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015317.jpg
바이 더 그레이스 오브 갓,BY THE GRACE OF GOD,2019,드라마,"멜빌 푸포(알렉상드르),데니스 메노쳇(프랑수아),스완 아르라우드(질)",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019585.jpg
썩시드,SUCKSEED,2019,"코메디,멜로/로맨스,하이틴(고교),뮤직","지라유 라옹마니(페드),나타샤 나울잠(에른),파차라 치라티밧(쿵)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019627.jpg
